('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         801995 function calls (778808 primitive calls) in 1.888 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      937    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      929    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      919    0.000    0.000    0.001    0.000 typing.py:1134(_is_dunder)
      917    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      910    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      909    0.000    0.000    0.000    0.000 socket.py:732(readable)
      908    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      908    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      908    0.001    0.000    1.187    0.001 ssl.py:1095(read)
      908    1.186    0.001    1.186    0.001 {method 'read' of '_ssl._SSLSocket' objects}
      908    0.001    0.000    1.190    0.001 socket.py:693(readinto)
      908    0.001    0.000    1.188    0.001 ssl.py:1237(recv_into)
      895    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      895    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      895    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
      869    0.002    0.000    0.010    0.000 {method 'sub' of 're.Pattern' objects}
      842    0.001    0.000    0.001    0.000 typing.py:1188(__setattr__)
      778    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
      778    0.005    0.000    0.008    0.000 _compiler.py:243(_optimize_charset)
  758/701    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      712    0.003    0.000    0.003    0.000 {built-in method posix.stat}
      712    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      712    0.000    0.000    0.001    0.000 _parser.py:372(_escape)
      690    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      668    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
      599    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      531    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      524    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      519    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
      502    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      502    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      496    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      480    0.000    0.000    0.000    0.000 filter.py:292(matches_string)
  448/443    0.006    0.000    0.052    0.000 {built-in method builtins.__build_class__}
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      439    0.000    0.000    0.001    0.000 enum.py:1129(__new__)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      439    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      430    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      428    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      427    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      415    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      412    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
      404    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
      403    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      397    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
      393    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
    365/8    0.001    0.000    0.209    0.026 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      359    0.001    0.000    0.001    0.000 enum.py:850(__setattr__)
      358    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      358    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      353    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      341    0.001    0.000    0.003    0.000 css_parser.py:1108(selector_iter)
      339    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      325    0.000    0.000    0.000    0.000 css_parser.py:312(get_name)
      325    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      325    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      324    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      324    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      318    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
      317    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      303    0.001    0.000    0.002    0.000 typing.py:175(_type_check)
      303    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      300    0.000    0.000    0.000    0.000 filter.py:627(_match_attribute_value_helper)
      296    0.000    0.000    0.000    0.000 element.py:2168(get)
      295    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
      290    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      288    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      280    0.002    0.000    0.105    0.000 __init__.py:280(_compile)
      279    0.000    0.000    0.105    0.000 __init__.py:226(compile)
      275    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      271    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      270    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
      262    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
      255    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      255    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
      254    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      215    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      214    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      214    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      214    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      214    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      214    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      214    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      209    0.000    0.000    0.001    0.000 filter.py:616(_attribute_match)
      207    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      196    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
      191    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      190    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      188    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      187    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
  185/152    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      182    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
