('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         802143 function calls (778958 primitive calls) in 1.762 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      179    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     6443    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     3260    0.001    0.000    0.010    0.000 __init__.py:1065(handle_data)
     4024    0.001    0.000    0.001    0.000 _parser.py:293(tell)
     8835    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     5984    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
      778    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
    181/4    0.001    0.000    0.208    0.052 <frozen importlib._bootstrap>:1349(_find_and_load)
      341    0.001    0.000    0.003    0.000 css_parser.py:1108(selector_iter)
       64    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     3422    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      214    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
      131    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
    10250    0.001    0.000    0.001    0.000 typing.py:2154(cast)
       17    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
     4145    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     3412    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
     2115    0.001    0.000    0.002    0.000 filter.py:538(matches_tag)
     4377    0.001    0.000    0.005    0.000 {built-in method builtins.next}
    56/16    0.001    0.000    0.013    0.001 css_parser.py:925(parse_selectors)
      262    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      895    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
      924    0.001    0.000    1.118    0.001 ssl.py:1095(read)
     3780    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     1268    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
      303    0.001    0.000    0.002    0.000 typing.py:175(_type_check)
      988    0.001    0.000    0.001    0.000 _parser.py:312(_class_escape)
     4050    0.001    0.000    0.001    0.000 element.py:2771(descendants)
       10    0.001    0.000    0.004    0.000 enum.py:919(_convert_)
     3514    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      162    0.001    0.000    0.007    0.000 _compiler.py:511(_compile_info)
     3412    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
      324    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
        1    0.001    0.001    1.762    1.762 financial_enhanced.py:1(<module>)
     3293    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     3823    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      214    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      842    0.001    0.000    0.001    0.000 typing.py:1188(__setattr__)
    133/1    0.001    0.000    1.762    1.762 {built-in method builtins.exec}
     2571    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      162    0.001    0.000    0.106    0.001 _compiler.py:740(compile)
    181/4    0.001    0.000    0.208    0.052 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      957    0.001    0.000    0.001    0.000 {built-in method fromkeys}
     3216    0.001    0.000    0.001    0.000 parser.py:127(clear_cdata_mode)
      131    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      712    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
     2585    0.000    0.000    0.002    0.000 css_parser.py:317(match)
      214    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
    365/8    0.000    0.000    0.206    0.026 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
